hs6_d12;sd;valor_pond;HS6;hs6_d12_desc;impo_tot;letra;impo_relativa;short_name;desc
40151900191G;O;1278190.5830058993;401519;Envasados para su venta directa al usuario       final // Los demás // Para uso medico (R.G.30/97 AFIP) // --Los demás // -Guantes, mitones y manoplas: // PRENDAS DE VESTIR, GUANTES, MITONES Y MANOPLAS YDEMÁS COMPLEMENTOS (ACCESORIOS), DE VESTIR, PARACUA;58521526.25899839;O;0.02184137469943997;Envasados para ;Otras actividades de servicios comunitarios, sociales y personales
90183991000T;O;1272187.9427166525;901839;Artículo para fístula arteriovenosa,     compuesto de aguja, base de fijación     tipo mariposa, tubo de plástico con     conector y obturador // Los demás // --Los demás // -Jeringas, agujas, catéteres, cánulas e instrumentos similares: // INSTRUMENTOS;58521526.25899839;O;0.021738803206982977;Artículo para f;Otras actividades de servicios comunitarios, sociales y personales
39269090999A;O;1178642.0973481543;392690;Las demás // Las demás // Las demás // Las demás // -Las demás // LAS DEMÁS MANUFACTURAS DE PLÁSTICO Y MANUFACTURASDE LAS DEMÁS MATERIAS DE LAS PARTIDAS 39.01 A 39.14.;58521526.25899839;O;0.0201403171224866;Las demás // La;Otras actividades de servicios comunitarios, sociales y personales
30049099900H;O;1015993.740640891;300490;Los demás // Los demás // Los demás // -Los demás // MEDICAMENTOS (EXCEPTO LOS PRODUCTOS DE LASPARTIDAS 30.02, 30.05 O 30.06) CONSTITUIDOSPOR PRODUCTOS MEZCLADOS O SIN MEZCLAR, PREPARADOSPARA USOS TERAPEUTICOS O PROFILÁCTICOS,DOSIFICADOS (INCLUIDOS LOS D;58521526.25899839;O;0.017361026029027563;Los demás // Lo;Otras actividades de servicios comunitarios, sociales y personales
90219011000H;N;14409448.03;902190;"Cardiodesfibriladores automáticos // Aparatos que se implantan en el    organismo para compensar un defecto    o una incapacidad // -Los demás // ARTÍCULOS Y APARATOS PARA ORTOPEDIA, INCLUIDAS LASFAJAS Y VENDAJES MEDICOQUIRÚRGICOS Y LAS MULETAS;TABLILLAS";131727133.16818094;N;0.10938861025391723;Cardiodesfibril;Servicios sociales y de salud
30049079990T;N;14008649.945818773;300490;Los demás // Los demás // Los demás // Que contengan productos de las partidas    29.34, 29.35 y 29.38, sin productos de las   subpartidas 3004.90.1 a 3004.90.6 // -Los demás // MEDICAMENTOS (EXCEPTO LOS PRODUCTOS DE LASPARTIDAS 30.02, 30.05 O 30.06) CON;131727133.16818094;N;0.10634597147068711;Los demás // Lo;Servicios sociales y de salud
90214000900U;N;12292233.264145881;902140;"Los demás // -Audífonos, excepto sus partes y accesorios // ARTÍCULOS Y APARATOS PARA ORTOPEDIA, INCLUIDAS LASFAJAS Y VENDAJES MEDICOQUIRÚRGICOS Y LAS MULETAS;TABLILLAS, FERULAS U OTROS ARTÍCULOS Y APARATOSPARA FRACTURAS; ARTÍCULOS Y APARATOS PARA PRÓTES";131727133.16818094;N;0.0933158793371137;Los demás // -A;Servicios sociales y de salud
30069110100R;N;6967456.422092196;300691;Para colostomía // Bolsas con forma para colostomía, ileostomía y   urostomía // --Dispositivos identificables para uso en estomas // -Los demás // PREPARACIONES Y ARTÍCULOS FARMACEUTICOS A QUE SEREFIERE LA NOTA 4 DE ESTE CAPÍTULO.;131727133.16818094;N;0.05289309995987375;Para colostomía;Servicios sociales y de salud
30049099900H;N;6940887.644084645;300490;Los demás // Los demás // Los demás // -Los demás // MEDICAMENTOS (EXCEPTO LOS PRODUCTOS DE LASPARTIDAS 30.02, 30.05 O 30.06) CONSTITUIDOSPOR PRODUCTOS MEZCLADOS O SIN MEZCLAR, PREPARADOSPARA USOS TERAPEUTICOS O PROFILÁCTICOS,DOSIFICADOS (INCLUIDOS LOS D;131727133.16818094;N;0.05269140439899315;Los demás // Lo;Servicios sociales y de salud
84212911000J;N;6248623.518355619;842129;"Capilares // Hemodializadores // --Los demás // -Aparatos para filtrar o depurar líquidos: // CENTRIFUGADORAS, INCLUIDAS LAS SECADORAS CENTRÍFUGAS; APARATOS PARA FILTRAR O DEPURAR LÍQUIDOS O GASES.";131727133.16818094;N;0.047436115613157456;Capilares // He;Servicios sociales y de salud
30021039900Z;N;6047433.099946625;300210;Los demás // Los demás // Demás fracciones de la sangre y productos    inmunológicos, preparados como medicamentos // -Antisueros (sueros con anticuerpos), demás fracciones de la sangre y productos inmunológicos, incluso modificados u obtenidos por proce;131727133.16818094;N;0.04590878852746033;Los demás // Lo;Servicios sociales y de salud
30049026110B;N;5313060.569206627;300490;"Bolsas para diálisis peritoneal ambulato-       ria que contengan solución acuosa de       glucosa, electrolitos y ácido láctico bajo       la forma de lactato // Acido láctico, sus sales o sus ésteres // Ácido láctico, sus sales o sus ésteres;        ác";131727133.16818094;N;0.04033383587285123;Bolsas para diá;Servicios sociales y de salud
30069110200X;N;4822828.222608682;300691;Para ileostomía // Bolsas con forma para colostomía, ileostomía y   urostomía // --Dispositivos identificables para uso en estomas // -Los demás // PREPARACIONES Y ARTÍCULOS FARMACEUTICOS A QUE SEREFIERE LA NOTA 4 DE ESTE CAPÍTULO.;131727133.16818094;N;0.03661226132091706;Para ileostomía;Servicios sociales y de salud
30049069990H;N;4778144.114426921;300490;Los demás // Los demás // Los demás // Que contengan productos de la partida   29.33, sin productos de las subpartidas   3004.90.1 a 3004.90.5 // -Los demás // MEDICAMENTOS (EXCEPTO LOS PRODUCTOS DE LASPARTIDAS 30.02, 30.05 O 30.06) CONSTITUIDOSPOR PRODU;131727133.16818094;N;0.03627304412923408;Los demás // Lo;Servicios sociales y de salud
30021029900P;M;2770067.406836341;300210;Los demás // Los demás // Demás fracciones de la sangre y productos   inmunológicos, excepto los preparados como   medicamentos // -Antisueros (sueros con anticuerpos), demás fracciones de la sangre y productos inmunológicos, incluso modificados u obteni;6081412.164064638;M;0.45549739634567193;Los demás // Lo;EnseÃ±anza
83062900000L;M;339313.3985692936;830629;"--Los demás // -Estatuillas y demás artículos de adorno: // CAMPANAS, CAMPANILLAS, GONGOS Y ARTÍCULOS SIMILARES, QUE NO SEAN ELECTRICOS, DE METAL COMÚN; ESTATUILLAS Y DEMÁS ARTÍCULOS DE ADORNO, DEMETAL COMÚN; MARCOS PARA FOTOGRAFÍAS, GRABADOS OSIMILARES,";6081412.164064638;M;0.0557951655660363;--Los demás // ;EnseÃ±anza
90013000000P;M;292780.2287142983;900130;"-Lentes de contacto // FIBRAS ÓPTICAS Y HACES DE FIBRAS ÓPTICAS; CABLESDE FIBRAS ÓPTICAS, EXCEPTO LOS DE LA PARTIDA 85.44; HOJAS Y PLACAS DE MATERIA POLARIZANTE;LENTES (INCLUSO DE CONTACTO), PRISMAS, ESPEJOS YDEMÁS ELEMENTOS DE ÓPTICA DE CUALQUIER MATERI";6081412.164064638;M;0.048143460896196276;-Lentes de cont;EnseÃ±anza
38220090200F;M;271534.5904480419;382200;"Reactivos para laboratorio // Los demás // REACTIVOS DE DIAGNÓSTICO O DE LABORATORIO SOBRECUALQUIER SOPORTE Y REACTIVOS DE DIAGNÓSTICO ODE LABORATORIO PREPARADOS, INCLUSO SOBRE SOPORTE,EXCEPTO LOS DE LAS PARTIDAS 30.02 Ó 30.06; MATERIALES DE REFERENCIA C";6081412.164064638;M;0.04464992391940692;Reactivos para ;EnseÃ±anza
71171900000P;M;208520.79151887845;711719;--Las demás // -De metal común, incluso plateado, dorado o platinado: // BISUTERÍA.;6081412.164064638;M;0.03428821890268152;--Las demás // ;EnseÃ±anza
71179000000V;M;173520.88128025545;711790;-Las demás // BISUTERÍA.;6081412.164064638;M;0.028532991449847587;-Las demás // B;EnseÃ±anza
85258029900L;M;151589.27226802264;852580;Las demás // Las demás // Cámaras fotográficas digitales y videocámaras // -Cámaras de televisión,cámaras fotográficas digitales y videocámaras // APARATOS EMISORES DE RADIODIFUSIÓN O TELEVISIÓN, INCLUSO CON APARATO RECEPTOR O DE GRABACIÓN OREPRODUCCIÓN;6081412.164064638;M;0.0249266565360873;Las demás // La;EnseÃ±anza
84812090200G;M;149177.03935709802;848120;Válvulas de control para transmisión de aire      comprimido, de 2 o más vías con 2 o 3      posiciones de mando, para una presión de      trabajo inferior o igual a 10 bar, incluso      accionadas mediante solenoide, con cuerpo de      aluminio, zinc o;6081412.164064638;M;0.024529999831057733;Válvulas de con;EnseÃ±anza
38220090300L;M;148860.59658761573;382200;"Materiales de referencia certificados // Los demás // REACTIVOS DE DIAGNÓSTICO O DE LABORATORIO SOBRECUALQUIER SOPORTE Y REACTIVOS DE DIAGNÓSTICO ODE LABORATORIO PREPARADOS, INCLUSO SOBRE SOPORTE,EXCEPTO LOS DE LAS PARTIDAS 30.02 Ó 30.06; MATERIALES DE R";6081412.164064638;M;0.024477965408633257;Materiales de r;EnseÃ±anza
88022010100C;M;131275.42198895031;880220;"Tripulados // A helice // -Aviones y demás aeronaves, de peso en vacío inferior o igual a 2.000 kg // LAS DEMÁS AERONAVES (POR EJEMPLO: HELICÓPTEROS,AVIONES); VEHÍCULOS ESPACIALES (INCLUIDOSLOS SATELITES) Y SUS VEHÍCULOS DE LANZAMIENTOY VEHÍCULOS SUBORBI";6081412.164064638;M;0.021586338575218304;Tripulados // A;EnseÃ±anza
38220090119Y;L;40580717.63892364;382200;Los demás // De uso in vitro para uso humano       (R.30/97 AFIP) // Reactivos para diagnóstico // Los demás // REACTIVOS DE DIAGNÓSTICO O DE LABORATORIO SOBRECUALQUIER SOPORTE Y REACTIVOS DE DIAGNÓSTICO ODE LABORATORIO PREPARADOS, INCLUSO SOBRE SOPORTE,;241669425.12380105;L;0.16791829424899396;Los demás // De;AdministraciÃ³n pÃºblica y defensa
30022025000Z;L;38952640.30150678;300220;"Contra la meningitis // Dosificadas o acondicionadas para la venta al   por menor // -Vacunas para la medicina humana // SANGRE HUMANA; SANGRE ANIMAL PREPARADA PARA USOSTERAPEUTICOS, PROFILÁCTICOS O DE DIAGNÓSTICO;ANTISUEROS (SUEROS CON ANTICUERPOS), DEM";241669425.12380105;L;0.16118149940379237;Contra la menin;AdministraciÃ³n pÃºblica y defensa
30022029900D;L;25618617.646860547;300220;"Las demás // Las demás // Dosificadas o acondicionadas para la venta al   por menor // -Vacunas para la medicina humana // SANGRE HUMANA; SANGRE ANIMAL PREPARADA PARA USOSTERAPEUTICOS, PROFILÁCTICOS O DE DIAGNÓSTICO;ANTISUEROS (SUEROS CON ANTICUERPOS), D";241669425.12380105;L;0.10600686302678457;Las demás // La;AdministraciÃ³n pÃºblica y defensa
30022026000G;L;12919294.991609208;300220;"Contra la rubeola, sarampión y paperas // Dosificadas o acondicionadas para la venta al   por menor // -Vacunas para la medicina humana // SANGRE HUMANA; SANGRE ANIMAL PREPARADA PARA USOSTERAPEUTICOS, PROFILÁCTICOS O DE DIAGNÓSTICO;ANTISUEROS (SUEROS CON";241669425.12380105;L;0.0534585414972994;Contra la rubeo;AdministraciÃ³n pÃºblica y defensa
30022027000P;L;11556158.42489923;300220;"Otras triples // Dosificadas o acondicionadas para la venta al   por menor // -Vacunas para la medicina humana // SANGRE HUMANA; SANGRE ANIMAL PREPARADA PARA USOSTERAPEUTICOS, PROFILÁCTICOS O DE DIAGNÓSTICO;ANTISUEROS (SUEROS CON ANTICUERPOS), DEMÁSFRACC";241669425.12380105;L;0.04781804077606965;Otras triples /;AdministraciÃ³n pÃºblica y defensa
85171221000T;L;11469876.717417402;851712;"Portátiles // Terminales de sistema troncalizado (""trunking"") // --Teléfonos celulares (móviles)* y los de otras  redes inalámbricas // -Teléfonos, incluidos los teléfonos celulares (móviles)* y los de otras redes inalámbricas: // TELEFONOS, INCLUIDOS LO";241669425.12380105;L;0.04746101709614974;Portátiles // T;AdministraciÃ³n pÃºblica y defensa
30022029100K;L;9586265.32879635;300220;"Contra la hepatitis A // Las demás // Dosificadas o acondicionadas para la venta al   por menor // -Vacunas para la medicina humana // SANGRE HUMANA; SANGRE ANIMAL PREPARADA PARA USOSTERAPEUTICOS, PROFILÁCTICOS O DE DIAGNÓSTICO;ANTISUEROS (SUEROS CON ANT";241669425.12380105;L;0.039666852039249696;Contra la hepat;AdministraciÃ³n pÃºblica y defensa
86071110000Z;L;8912346.253561953;860711;"Bojes // --Bojes y ""bissels"", de tracción // -Bojes, ""bissels"", ejes y ruedas, y sus partes: // PARTES DE VEHÍCULOS PARA VÍAS FERREAS O SIMILARES.";241669425.12380105;L;0.03687825321302596;Bojes // --Boje;AdministraciÃ³n pÃºblica y defensa
38220090111F;L;7959117.907845168;382200;Comprendidos en la Ley 25.590, sus normas       modificatorias y complementarias // De uso in vitro para uso humano       (R.30/97 AFIP) // Reactivos para diagnóstico // Los demás // REACTIVOS DE DIAGNÓSTICO O DE LABORATORIO SOBRECUALQUIER SOPORTE Y REAC;241669425.12380105;L;0.032933905080329944;Comprendidos en;AdministraciÃ³n pÃºblica y defensa
30022029400B;L;6776433.1025158325;300220;Contra: la neumonía, la fiebre amarilla a      virus atenuados, contra la paperas a virus      atenuados, contra la rubeola a virus      atenuados o contra la varicela a virus      atenuados // Las demás // Dosificadas o acondicionadas para la venta al;241669425.12380105;L;0.028040092779814573;Contra: la neum;AdministraciÃ³n pÃºblica y defensa
25199090390Y;K_99;560521.9307565278;251990;"Los demás // Oxido de magnesio // Los demás // -Los demás // CARBONATO DE MAGNESIO NATURAL (MAGNESITA);MAGNESIA ELECTROFUNDIDA; MAGNESIACALCINADA A MUERTE (SINTERIZADA), INCLUSOCON PEQUEÑAS CANTIDADES DE OTROS ÓXIDOS AÑADIDOSANTES DE LA SINTERIZACIÓN; OT";3950541.7363140527;K_99;0.14188482698565483;Los demás // Ox;Servicios de apoyo para la minerÃ­a excepto para la extracciÃ³n de petrÃ³leo y gas natual
36020000100H;K_99;413011.9697393872;360200;A base de nitrato de amonio // EXPLOSIVOS PREPARADOS, EXCEPTO LA PÓLVORA.;3950541.7363140527;K_99;0.10454565406635521;A base de nitra;Servicios de apoyo para la minerÃ­a excepto para la extracciÃ³n de petrÃ³leo y gas natual
72288000000B;K_99;387457.9341033314;722880;"-Barras huecas para perforación // BARRAS Y PERFILES, DE LOS DEMÁS ACEROS ALEADOS;BARRAS HUECAS PARA PERFORACIÓN, DE ACEROS ALEADOSO SIN ALEAR.";3950541.7363140527;K_99;0.09807716509909313;-Barras huecas ;Servicios de apoyo para la minerÃ­a excepto para la extracciÃ³n de petrÃ³leo y gas natual
38089359300Y;K_99;333230.2290838663;380893;A base de giberelinas // Los demás // Reguladores del crecimiento de las plantas   presentados de otro modo // --Herbicidas, inhibidores de germinación y  reguladores del crecimiento de las plantas // -Los demás // INSECTICIDAS, RATICIDAS Y DEMÁS ANTIRRO;3950541.7363140527;K_99;0.08435051477136851;A base de giber;Servicios de apoyo para la minerÃ­a excepto para la extracciÃ³n de petrÃ³leo y gas natual
82071900100P;K_99;277545.437895342;820719;Trépanos // --Los demás, incluidas las partes // -Útiles de perforación o sondeo: // ÚTILES INTERCAMBIABLES PARA HERRAMIENTAS DE MANO,INCLUSO MECÁNICAS, O PARA MÁQUINAS HERRAMIENTA(POR EJEMPLO: DE EMBUTIR, ESTAMPAR, PUNZONAR,ROSCAR [INCLUSO ATERRAJAR], T;3950541.7363140527;K_99;0.07025503245392829;Trépanos // --L;Servicios de apoyo para la minerÃ­a excepto para la extracciÃ³n de petrÃ³leo y gas natual
69032090000H;K_99;222976.2337707567;690320;Los demás // -Con un contenido de alúmina (Al2O3) o de una mezcla o combinación de alúmina y de sílice (SiO2), superior al 50 % en peso // LOS DEMÁS ARTÍCULOS CERÁMICOS REFRACTARIOS (POREJEMPLO: RETORTAS, CRISOLES, MUFLAS, TOBERAS,TAPONES, SOPORTES, COPE;3950541.7363140527;K_99;0.05644193851215927;Los demás // -C;Servicios de apoyo para la minerÃ­a excepto para la extracciÃ³n de petrÃ³leo y gas natual
73045990000W;K_99;167133.12305054453;730459;Los demás // --Los demás // -Los demás, de sección circular, de los demás aceros aleados: // TUBOS Y PERFILES HUECOS, SIN SOLDADURA (SINCOSTURA)*, DE HIERRO O ACERO.;3950541.7363140527;K_99;0.04230638079689891;Los demás // --;Servicios de apoyo para la minerÃ­a excepto para la extracciÃ³n de petrÃ³leo y gas natual
82071900300A;K_99;122955.56073534525;820719;Coronas // --Los demás, incluidas las partes // -Útiles de perforación o sondeo: // ÚTILES INTERCAMBIABLES PARA HERRAMIENTAS DE MANO,INCLUSO MECÁNICAS, O PARA MÁQUINAS HERRAMIENTA(POR EJEMPLO: DE EMBUTIR, ESTAMPAR, PUNZONAR,ROSCAR [INCLUSO ATERRAJAR], TA;3950541.7363140527;K_99;0.03112372148992043;Coronas // --Lo;Servicios de apoyo para la minerÃ­a excepto para la extracciÃ³n de petrÃ³leo y gas natual
84314929100J;K_99;110051.86871668753;843149;De máquinas o aparatos de la partida 84.29 // Las demás // Para máquinas o aparatos de las partidas 84.29   u 84.30 // --Las demás // -De máquinas o aparatos de las partidas 84.26, 84.29 u 84.30: // PARTES IDENTIFICABLES COMO DESTINADAS, EXCLUSIVAO PRINC;3950541.7363140527;K_99;0.027857411986075734;De máquinas o a;Servicios de apoyo para la minerÃ­a excepto para la extracciÃ³n de petrÃ³leo y gas natual
31023000900L;K_99;109632.09500000002;310230;Los demás // -Nitrato de amonio, incluso en disolución acuosa // ABONOS MINERALES O QUÍMICOS NITROGENADOS.;3950541.7363140527;K_99;0.027751154732082214;Los demás // -N;Servicios de apoyo para la minerÃ­a excepto para la extracciÃ³n de petrÃ³leo y gas natual
27160000000V;K_74;1301119859.5400002;271600;ENERGÍA ELECTRICA.;3106551770.070019;K_74;0.41883089542418095;ENERGÍA ELECTRI;Servicios jurÃ­dicos contables y otros servicios a empresas (sin minerÃ­a)
27101921000H;K_74;910049061.0902041;271019;"Gasóleo (""gas oil"") // Otros aceites combustibles // --Los demás // -Aceites de petróleo o de mineral bituminoso (excepto los aceites crudos) y preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petróleo o de minera";3106551770.070019;K_74;0.29294508137866715;"Gasóleo (""gas o";Servicios jurÃ­dicos contables y otros servicios a empresas (sin minerÃ­a)
27011200000V;K_74;61691553.51124487;270112;"--Hulla bituminosa // -Hullas, incluso pulverizadas, pero sin aglomerar: // HULLAS; BRIQUETAS, OVOIDES Y COMBUSTIBLESSÓLIDOS SIMILARES, OBTENIDOS DE LA HULLA.";3106551770.070019;K_74;0.019858530640181286;--Hulla bitumin;Servicios jurÃ­dicos contables y otros servicios a empresas (sin minerÃ­a)
28182010000B;K_74;56862333.268277235;281820;"Alúmina calcinada // -Óxido de aluminio, excepto el corindón artificial // CORINDÓN ARTIFICIAL, AUNQUE NO SEA DE CONSTITUCIÓN QUÍMICA DEFINIDA; ÓXIDO DE ALUMINIO; HIDRÓXIDO DEALUMINIO.";3106551770.070019;K_74;0.018304003112427;Alúmina calcina;Servicios jurÃ­dicos contables y otros servicios a empresas (sin minerÃ­a)
