sd;hs6_d12;valor_pond;hs6_d12_desc;desc
K_74;87082999990J;453008.57477134815;Las demás. // . // Partes // Los demás // Los demás // --Los demás // -Las demás partes y accesorios para carrocería  (incluidas las de cabina): // PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMÓVILES DELAS PARTIDAS 87.01 A 87.05.;Servicios jurÃ­dicos contables y otros servicios a empresas (sin minerÃ­a)
D_34;87060010000L;151804793.8003446;De los vehículos de la partida nº 87.02 // CHASIS PARA VEHÍCULOS AUTOMÓVILES DE LAS PARTIDAS 87.01 A 87.05, EQUIPADOS CON SU MOTOR.;Automotores
D_29;87060010000L;11.249655434665037;De los vehículos de la partida nº 87.02 // CHASIS PARA VEHÍCULOS AUTOMÓVILES DE LAS PARTIDAS 87.01 A 87.05, EQUIPADOS CON SU MOTOR.;Maquinaria y equipo
D_34;85443000900A;226678397.275633;Los demás // -Juegos de cables para bujías de encendido y demás juegos de cables de los tipos  utilizados en los medios de transporte // HILOS, CABLES (INCLUIDOS LOS COAXIALES) Y DEMÁSCONDUCTORES AISLADOS PARA ELECTRICIDAD, AUNQUEESTEN LAQUEADOS, ANODIZA;Automotores
CONS;85443000900A;2120881.6562858806;Los demás // -Juegos de cables para bujías de encendido y demás juegos de cables de los tipos  utilizados en los medios de transporte // HILOS, CABLES (INCLUIDOS LOS COAXIALES) Y DEMÁSCONDUCTORES AISLADOS PARA ELECTRICIDAD, AUNQUEESTEN LAQUEADOS, ANODIZA;Consumo
D_31;85443000900A;791367.8996967186;Los demás // -Juegos de cables para bujías de encendido y demás juegos de cables de los tipos  utilizados en los medios de transporte // HILOS, CABLES (INCLUIDOS LOS COAXIALES) Y DEMÁSCONDUCTORES AISLADOS PARA ELECTRICIDAD, AUNQUEESTEN LAQUEADOS, ANODIZA;Aparatos elÃ©ctricos
D_35;85443000900A;720888.7808852514;Los demás // -Juegos de cables para bujías de encendido y demás juegos de cables de los tipos  utilizados en los medios de transporte // HILOS, CABLES (INCLUIDOS LOS COAXIALES) Y DEMÁSCONDUCTORES AISLADOS PARA ELECTRICIDAD, AUNQUEESTEN LAQUEADOS, ANODIZA;Otros equipo de transporte
E;85443000900A;642395.3661599974;Los demás // -Juegos de cables para bujías de encendido y demás juegos de cables de los tipos  utilizados en los medios de transporte // HILOS, CABLES (INCLUIDOS LOS COAXIALES) Y DEMÁSCONDUCTORES AISLADOS PARA ELECTRICIDAD, AUNQUEESTEN LAQUEADOS, ANODIZA;Suministro de electricidad, gas y agua
D_32;85299020000G;459140143.85502887;De los aparatos de las partidas 85.27   u 85.28 // -Las demás // PARTES IDENTIFICABLES COMO DESTINADAS, EXCLUSIVAO PRINCIPALMENTE, A LOS APARATOS DE LAS PARTIDAS85.25 A 85.28.;Radio y televisiÃ³n
CONS;85299020000G;37684548.88755774;De los aparatos de las partidas 85.27   u 85.28 // -Las demás // PARTES IDENTIFICABLES COMO DESTINADAS, EXCLUSIVAO PRINCIPALMENTE, A LOS APARATOS DE LAS PARTIDAS85.25 A 85.28.;Consumo
F;85299020000G;5750634.241545092;De los aparatos de las partidas 85.27   u 85.28 // -Las demás // PARTES IDENTIFICABLES COMO DESTINADAS, EXCLUSIVAO PRINCIPALMENTE, A LOS APARATOS DE LAS PARTIDAS85.25 A 85.28.;ConstrucciÃ³n
D_29;85299020000G;5016182.371142763;De los aparatos de las partidas 85.27   u 85.28 // -Las demás // PARTES IDENTIFICABLES COMO DESTINADAS, EXCLUSIVAO PRINCIPALMENTE, A LOS APARATOS DE LAS PARTIDAS85.25 A 85.28.;Maquinaria y equipo
D_34;85299020000G;613487.0992975007;De los aparatos de las partidas 85.27   u 85.28 // -Las demás // PARTES IDENTIFICABLES COMO DESTINADAS, EXCLUSIVAO PRINCIPALMENTE, A LOS APARATOS DE LAS PARTIDAS85.25 A 85.28.;Automotores
D_32;85177099000H;426814117.9872356;"Las demás // Las demás // -Partes // TELEFONOS, INCLUIDOS LOS TELEFONOS CELULARES (MÓVILES)* Y LOS DE OTRAS REDES INALÁMBRICAS; LOS DEMÁS APARATOS DE EMISIÓN, TRANSMISIÓN O RECEPCIÓN DE VOZ, IMAGEN U OTROS DATOS, INCLUIDOS LOS DE COMUNICACIÓN EN RED CON";Radio y televisiÃ³n
D_29;85177099000H;32810058.733646538;"Las demás // Las demás // -Partes // TELEFONOS, INCLUIDOS LOS TELEFONOS CELULARES (MÓVILES)* Y LOS DE OTRAS REDES INALÁMBRICAS; LOS DEMÁS APARATOS DE EMISIÓN, TRANSMISIÓN O RECEPCIÓN DE VOZ, IMAGEN U OTROS DATOS, INCLUIDOS LOS DE COMUNICACIÓN EN RED CON";Maquinaria y equipo
CONS;85177099000H;2162649.1003775126;"Las demás // Las demás // -Partes // TELEFONOS, INCLUIDOS LOS TELEFONOS CELULARES (MÓVILES)* Y LOS DE OTRAS REDES INALÁMBRICAS; LOS DEMÁS APARATOS DE EMISIÓN, TRANSMISIÓN O RECEPCIÓN DE VOZ, IMAGEN U OTROS DATOS, INCLUIDOS LOS DE COMUNICACIÓN EN RED CON";Consumo
D_33;85177099000H;909273.0639655575;"Las demás // Las demás // -Partes // TELEFONOS, INCLUIDOS LOS TELEFONOS CELULARES (MÓVILES)* Y LOS DE OTRAS REDES INALÁMBRICAS; LOS DEMÁS APARATOS DE EMISIÓN, TRANSMISIÓN O RECEPCIÓN DE VOZ, IMAGEN U OTROS DATOS, INCLUIDOS LOS DE COMUNICACIÓN EN RED CON";Instrumentos mÃ©dicos
D_30;85177099000H;213182.83358937613;"Las demás // Las demás // -Partes // TELEFONOS, INCLUIDOS LOS TELEFONOS CELULARES (MÓVILES)* Y LOS DE OTRAS REDES INALÁMBRICAS; LOS DEMÁS APARATOS DE EMISIÓN, TRANSMISIÓN O RECEPCIÓN DE VOZ, IMAGEN U OTROS DATOS, INCLUIDOS LOS DE COMUNICACIÓN EN RED CON";Maquinaria de oficina
D_29;84339090000D;155075502.5056157;"Las dem?s // Las dem?s // -Partes // MÁQUINAS, APARATOS Y ARTEFACTOS DE COSECHAR OTRILLAR, INCLUIDAS LAS PRENSAS PARA PAJA O FORRAJE; CORTADORAS DE CESPED Y GUADAÑADORAS;MÁQUINAS PARA LIMPIEZA O CLASIFICACIÓN DEHUEVOS, FRUTOS O DEMÁS PRODUCTOS AGRÍCOLAS,";Maquinaria y equipo
A;84339090000D;462672.3880913182;"Las dem?s // Las dem?s // -Partes // MÁQUINAS, APARATOS Y ARTEFACTOS DE COSECHAR OTRILLAR, INCLUIDAS LAS PRENSAS PARA PAJA O FORRAJE; CORTADORAS DE CESPED Y GUADAÑADORAS;MÁQUINAS PARA LIMPIEZA O CLASIFICACIÓN DEHUEVOS, FRUTOS O DEMÁS PRODUCTOS AGRÍCOLAS,";Agricultura, ganaderÃ­a, caza y silvicultura
CONS;84339090000D;264019.22074496443;"Las dem?s // Las dem?s // -Partes // MÁQUINAS, APARATOS Y ARTEFACTOS DE COSECHAR OTRILLAR, INCLUIDAS LAS PRENSAS PARA PAJA O FORRAJE; CORTADORAS DE CESPED Y GUADAÑADORAS;MÁQUINAS PARA LIMPIEZA O CLASIFICACIÓN DEHUEVOS, FRUTOS O DEMÁS PRODUCTOS AGRÍCOLAS,";Consumo
D_28;84339090000D;195580.28115916846;"Las dem?s // Las dem?s // -Partes // MÁQUINAS, APARATOS Y ARTEFACTOS DE COSECHAR OTRILLAR, INCLUIDAS LAS PRENSAS PARA PAJA O FORRAJE; CORTADORAS DE CESPED Y GUADAÑADORAS;MÁQUINAS PARA LIMPIEZA O CLASIFICACIÓN DEHUEVOS, FRUTOS O DEMÁS PRODUCTOS AGRÍCOLAS,";Otros productos de metal
D_15;84339090000D;100092.7029907539;"Las dem?s // Las dem?s // -Partes // MÁQUINAS, APARATOS Y ARTEFACTOS DE COSECHAR OTRILLAR, INCLUIDAS LAS PRENSAS PARA PAJA O FORRAJE; CORTADORAS DE CESPED Y GUADAÑADORAS;MÁQUINAS PARA LIMPIEZA O CLASIFICACIÓN DEHUEVOS, FRUTOS O DEMÁS PRODUCTOS AGRÍCOLAS,";Alimentos
D_34;84082030900A;179046687.6831239;Los demás // De cilindrada superior a 2.500 cm3 pero    inferior o igual a 3.500 cm3 // -Motores de los tipos utilizados para la  propulsión de vehículos del Capítulo 87 // MOTORES DE EMBOLO (PISTÓN) DE ENCENDIDO PORCOMPRESIÓN (MOTORES DIESEL O SEMI-DIES;Automotores
CONS;84082030900A;22641986.64685418;Los demás // De cilindrada superior a 2.500 cm3 pero    inferior o igual a 3.500 cm3 // -Motores de los tipos utilizados para la  propulsión de vehículos del Capítulo 87 // MOTORES DE EMBOLO (PISTÓN) DE ENCENDIDO PORCOMPRESIÓN (MOTORES DIESEL O SEMI-DIES;Consumo
D_29;84082030900A;2.1917794433763013e-05;Los demás // De cilindrada superior a 2.500 cm3 pero    inferior o igual a 3.500 cm3 // -Motores de los tipos utilizados para la  propulsión de vehículos del Capítulo 87 // MOTORES DE EMBOLO (PISTÓN) DE ENCENDIDO PORCOMPRESIÓN (MOTORES DIESEL O SEMI-DIES;Maquinaria y equipo
I_63;84082030900A;1.7418608630961404e-12;Los demás // De cilindrada superior a 2.500 cm3 pero    inferior o igual a 3.500 cm3 // -Motores de los tipos utilizados para la  propulsión de vehículos del Capítulo 87 // MOTORES DE EMBOLO (PISTÓN) DE ENCENDIDO PORCOMPRESIÓN (MOTORES DIESEL O SEMI-DIES;ManipulaciÃ³n de carga, almacenamiento y depÃ³sito
K_71;84082030900A;8.428844230929627e-15;Los demás // De cilindrada superior a 2.500 cm3 pero    inferior o igual a 3.500 cm3 // -Motores de los tipos utilizados para la  propulsión de vehículos del Capítulo 87 // MOTORES DE EMBOLO (PISTÓN) DE ENCENDIDO PORCOMPRESIÓN (MOTORES DIESEL O SEMI-DIES;Alquiler de equipo de transporte y de maquinaria
D_34;84082020900Q;224926004.6200292;Los demás // De cilindrada superior a 1.500 cm3 pero   inferior o igual a 2.500 cm3 // -Motores de los tipos utilizados para la  propulsión de vehículos del Capítulo 87 // MOTORES DE EMBOLO (PISTÓN) DE ENCENDIDO PORCOMPRESIÓN (MOTORES DIESEL O SEMI-DIESE;Automotores
CONS;84082020900Q;14686757.64600344;Los demás // De cilindrada superior a 1.500 cm3 pero   inferior o igual a 2.500 cm3 // -Motores de los tipos utilizados para la  propulsión de vehículos del Capítulo 87 // MOTORES DE EMBOLO (PISTÓN) DE ENCENDIDO PORCOMPRESIÓN (MOTORES DIESEL O SEMI-DIESE;Consumo
D_29;84082020900Q;1474983.9704342731;Los demás // De cilindrada superior a 1.500 cm3 pero   inferior o igual a 2.500 cm3 // -Motores de los tipos utilizados para la  propulsión de vehículos del Capítulo 87 // MOTORES DE EMBOLO (PISTÓN) DE ENCENDIDO PORCOMPRESIÓN (MOTORES DIESEL O SEMI-DIESE;Maquinaria y equipo
A;84082020900Q;258902.08353306216;Los demás // De cilindrada superior a 1.500 cm3 pero   inferior o igual a 2.500 cm3 // -Motores de los tipos utilizados para la  propulsión de vehículos del Capítulo 87 // MOTORES DE EMBOLO (PISTÓN) DE ENCENDIDO PORCOMPRESIÓN (MOTORES DIESEL O SEMI-DIESE;Agricultura, ganaderÃ­a, caza y silvicultura
K_74;84082020900Q;3.439754328706491e-17;Los demás // De cilindrada superior a 1.500 cm3 pero   inferior o igual a 2.500 cm3 // -Motores de los tipos utilizados para la  propulsión de vehículos del Capítulo 87 // MOTORES DE EMBOLO (PISTÓN) DE ENCENDIDO PORCOMPRESIÓN (MOTORES DIESEL O SEMI-DIESE;Servicios jurÃ­dicos contables y otros servicios a empresas (sin minerÃ­a)
D_34;84073490000D;236774500.59;Los demás // --De cilindrada superior a 1.000 cm3 // -Motores de émbolo (pistón) alternativo de los tipos utilizados para la propulsión de vehículos del Capítulo 87: // MOTORES DE EMBOLO (PISTÓN) ALTERNATIVO Y MOTORESROTATIVOS, DE ENCENDIDO POR CHISPA (M;Automotores
D_27;84073490000D;5.154435975561248e-19;Los demás // --De cilindrada superior a 1.000 cm3 // -Motores de émbolo (pistón) alternativo de los tipos utilizados para la propulsión de vehículos del Capítulo 87: // MOTORES DE EMBOLO (PISTÓN) ALTERNATIVO Y MOTORESROTATIVOS, DE ENCENDIDO POR CHISPA (M;Metales comunes
D_31;74081900000G;91347327.1205657;--Los demás // -De cobre refinado: // ALAMBRE DE COBRE.;Aparatos elÃ©ctricos
D_27;74081900000G;8058516.059668858;--Los demás // -De cobre refinado: // ALAMBRE DE COBRE.;Metales comunes
D_28;74081900000G;4081850.220135924;--Los demás // -De cobre refinado: // ALAMBRE DE COBRE.;Otros productos de metal
D_25;74081900000G;1933421.9363193528;--Los demás // -De cobre refinado: // ALAMBRE DE COBRE.;Productos de caucho y plÃ¡stico
D_34;74081900000G;100379.73077519205;--Los demás // -De cobre refinado: // ALAMBRE DE COBRE.;Automotores
D_27;72071200000R;144516750.19097328;--Los demás, de sección transversal rectangular // -Con un contenido de carbono inferior al 0,25 % en peso: // PRODUCTOS INTERMEDIOS DE HIERRO O ACERO SINALEAR.;Metales comunes
D_28;72071200000R;2.859026720033864;--Los demás, de sección transversal rectangular // -Con un contenido de carbono inferior al 0,25 % en peso: // PRODUCTOS INTERMEDIOS DE HIERRO O ACERO SINALEAR.;Otros productos de metal
D_21;48041100000M;96641620.28997079;--Crudos // -Papel y cartón para caras (cubiertas) («Kraftliner»): // PAPEL Y CARTON KRAFT, SIN ESTUCAR NI RECUBRIR, ENBOBINAS (ROLLOS) O EN HOJAS, EXCEPTO EL DE LASPARTIDAS 48.02 ó 48.03.;Papel
CONS;48041100000M;551535.7136288849;--Crudos // -Papel y cartón para caras (cubiertas) («Kraftliner»): // PAPEL Y CARTON KRAFT, SIN ESTUCAR NI RECUBRIR, ENBOBINAS (ROLLOS) O EN HOJAS, EXCEPTO EL DE LASPARTIDAS 48.02 ó 48.03.;Consumo
D_25;48041100000M;21965.863181570887;--Crudos // -Papel y cartón para caras (cubiertas) («Kraftliner»): // PAPEL Y CARTON KRAFT, SIN ESTUCAR NI RECUBRIR, ENBOBINAS (ROLLOS) O EN HOJAS, EXCEPTO EL DE LASPARTIDAS 48.02 ó 48.03.;Productos de caucho y plÃ¡stico
D_37;48041100000M;13.20099757344907;--Crudos // -Papel y cartón para caras (cubiertas) («Kraftliner»): // PAPEL Y CARTON KRAFT, SIN ESTUCAR NI RECUBRIR, ENBOBINAS (ROLLOS) O EN HOJAS, EXCEPTO EL DE LASPARTIDAS 48.02 ó 48.03.;Reciclamiento de desperdicios y desechos
I_60;48041100000M;0.10221930395317776;--Crudos // -Papel y cartón para caras (cubiertas) («Kraftliner»): // PAPEL Y CARTON KRAFT, SIN ESTUCAR NI RECUBRIR, ENBOBINAS (ROLLOS) O EN HOJAS, EXCEPTO EL DE LASPARTIDAS 48.02 ó 48.03.;Transporte ferroviario y automotor y por tuberias
D_21;47032900200H;119922738.18686493;De eucalipto // --Distinta de las de coníferas // -Semiblanqueada o blanqueada: // PASTA QUÍMICA DE MADERA A LA SOSA (SODA) O ALSULFATO, EXCEPTO LA PASTA PARA DISOLVER.;Papel
D_37;47032900200H;123200.87271919243;De eucalipto // --Distinta de las de coníferas // -Semiblanqueada o blanqueada: // PASTA QUÍMICA DE MADERA A LA SOSA (SODA) O ALSULFATO, EXCEPTO LA PASTA PARA DISOLVER.;Reciclamiento de desperdicios y desechos
A;47032900200H;13.563424081926529;De eucalipto // --Distinta de las de coníferas // -Semiblanqueada o blanqueada: // PASTA QUÍMICA DE MADERA A LA SOSA (SODA) O ALSULFATO, EXCEPTO LA PASTA PARA DISOLVER.;Agricultura, ganaderÃ­a, caza y silvicultura
E;47032900200H;11.60014244971095;De eucalipto // --Distinta de las de coníferas // -Semiblanqueada o blanqueada: // PASTA QUÍMICA DE MADERA A LA SOSA (SODA) O ALSULFATO, EXCEPTO LA PASTA PARA DISOLVER.;Suministro de electricidad, gas y agua
D_22;47032900200H;0.6202096127205187;De eucalipto // --Distinta de las de coníferas // -Semiblanqueada o blanqueada: // PASTA QUÍMICA DE MADERA A LA SOSA (SODA) O ALSULFATO, EXCEPTO LA PASTA PARA DISOLVER.;EdiciÃ³n
CONS;40112090642Q;105524215.96896748;"Serie 80       (designación del tamaño 295/80R22.5) // Con ancho seccional igual a 295 mm // Radiales, con diámetro de llanta igual a      571,5 mm (22.5"") // Los demás // -De los tipos utilizados en autobuses o camiones // NEUMÁTICOS (LLANTAS NEUMÁTICAS";Consumo
D_25;40112090642Q;486299.0858208745;"Serie 80       (designación del tamaño 295/80R22.5) // Con ancho seccional igual a 295 mm // Radiales, con diámetro de llanta igual a      571,5 mm (22.5"") // Los demás // -De los tipos utilizados en autobuses o camiones // NEUMÁTICOS (LLANTAS NEUMÁTICAS";Productos de caucho y plÃ¡stico
D_34;40112090642Q;73.94304744539515;"Serie 80       (designación del tamaño 295/80R22.5) // Con ancho seccional igual a 295 mm // Radiales, con diámetro de llanta igual a      571,5 mm (22.5"") // Los demás // -De los tipos utilizados en autobuses o camiones // NEUMÁTICOS (LLANTAS NEUMÁTICAS";Automotores
I_62;40112090642Q;0.017249770347035263;"Serie 80       (designación del tamaño 295/80R22.5) // Con ancho seccional igual a 295 mm // Radiales, con diámetro de llanta igual a      571,5 mm (22.5"") // Los demás // -De los tipos utilizados en autobuses o camiones // NEUMÁTICOS (LLANTAS NEUMÁTICAS";Transporte aÃ©reo de cargas y de pasajeros
