INFORMACION MENSUAL DEL MERCADO DE CAMBIOS;;;;;;;;;;;;;;;;;;;;;;
Gerencia de Estadísticas del Sector Externo - Banco Central de la República Argentina;;;;;;;;;;;;;;;;;;;;;;
2003;1;Oleaginosos y Cerealeros;C; 278 ; 206 ; 323 ; 375 ; 445 ; 586 ; 435 ; 538 ; 333 ; 342 ; 237 ; 234 ;;;;;;;
2003;1;Otros Industria Manufacturera;C; 21 ; 23 ; 18 ; 18 ; 20 ; 19 ; 20 ; 18 ; 20 ; 21 ; 20 ; 28 ;;;;;;;
2003;1;Otros Sector Privado no Financiero;C; 19 ; 17 ; 27 ; 17 ; 22 ; 46 ; 20 ; 17 ; 24 ; 21 ; 20 ; 20 ;;;;;;;
2003;1;Petróleo;C; 126 ; 122 ; 135 ; 56 ; 78 ; 79 ; 186 ; 79 ; 92 ; 100 ; 93 ; 107 ;;;;;;;
2003;1;Productos Minerales no Metálicos (Cementos, Cerámicos y Otros);C; 8 ; 8 ; 6 ; 7 ; 6 ; 6 ; 7 ; 7 ; 6 ; 6 ; 6 ; 8 ;;;;;;;
2003;1;Sector Público;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;; 0 ;;;;;;;
2003;1;Seguros;C; -   ;; 0 ; 0 ; 0 ;;; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;1;Todos;C; 1,254 ; 1,086 ; 1,237 ; 1,215 ; 1,377 ; 1,497 ; 1,501 ; 1,390 ; 1,274 ; 1,376 ; 1,248 ; 1,506 ;;;;;;;
2003;1;Transporte;C; 13 ; 1 ; 1 ; 1 ; 2 ; 2 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ;;;;;;;
2003;1;Turismo y Hotelería;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ;;;;;;;
2003;2;Agricultura, Ganadería y Otras Actividades Primarias;C; 30 ; 26 ; 27 ; 32 ; 26 ; 18 ; 16 ; 11 ; 10 ; 14 ; 8 ; 21 ;;;;;;;
2003;2;Agua;C; -   ; 0 ;;;;;;;;;;;;;;;;;
2003;2;Alimentos, Bebidas y Tabaco;C; 24 ; 33 ; 37 ; 35 ; 36 ; 30 ; 28 ; 29 ; 26 ; 23 ; 19 ; 26 ;;;;;;;
2003;2;Comercio;C; 8 ; 9 ; 10 ; 7 ; 7 ; 6 ; 7 ; 5 ; 6 ; 6 ; 5 ; 7 ;;;;;;;
2003;2;Comunicaciones;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;; 0 ; 0 ;; 0 ; 0 ;;;;;;;
2003;2;Construcción;C; 4 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 0 ; 0 ; 1 ;;;;;;;
2003;2;Electricidad (Generación, Transporte, Distribución);C; -   ;;;; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;2;Entidades Financieras y Cambiarias;C; -   ;;;;;;;;;;; 0 ;;;;;;;
2003;2;Entretenimiento;C; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -   ;;;;;;;
2003;2;Gas (Extracción, Transporte, Distribución);C; -   ;;; 0 ;;;;;;;;;;;;;;;
2003;2;Gastronomía;C; 0 ; 0 ; 0 ; 0 ;; 0 ; 0 ;;; 0 ;; 0 ;;;;;;;
2003;2;Industria Automotriz;C; 7 ; 16 ; 17 ; 16 ; 9 ; 1 ; 3 ; 1 ; 1 ; 2 ; 2 ; 1 ;;;;;;;
2003;2;Industria de Papel, Ediciones e Impresiones;C; 2 ; 2 ; 3 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 2 ; 1 ;;;;;;;
2003;2;Industria Química, Caucho y Plástico;C; 4 ; 4 ; 3 ; 3 ; 6 ; 5 ; 3 ; 3 ; 3 ; 4 ; 3 ; 3 ;;;;;;;
2003;2;Industria Textil y Curtidos;C; 12 ; 14 ; 12 ; 17 ; 8 ; 7 ; 14 ; 20 ; 14 ; 16 ; 14 ; 22 ;;;;;;;
2003;2;Informática;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;2;Maquinarias y Equipos;C; 5 ; 5 ; 4 ; 6 ; 8 ; 6 ; 10 ; 6 ; 8 ; 7 ; 12 ; 10 ;;;;;;;
2003;2;Metales Comunes y Elaboración;C; 4 ; 3 ; 4 ; 2 ; 2 ; 4 ; 2 ; 1 ; 2 ; 3 ; 6 ; 3 ;;;;;;;
2003;2;Mineria;C; 0 ; 0 ; 1 ; 1 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ;;;;;;;
2003;2;Oleaginosos y Cerealeros;C; 247 ; 200 ; 273 ; 446 ; 548 ; 544 ; 415 ; 299 ; 332 ; 353 ; 223 ; 366 ;;;;;;;
2003;2;Otros Industria Manufacturera;C; 1 ; 3 ; 2 ; 3 ; 3 ; 6 ; 3 ; 2 ; 2 ; 4 ; 3 ; 3 ;;;;;;;
2003;2;Otros Sector Privado no Financiero;C; 4 ; 4 ; 3 ; 3 ; 3 ; 3 ; 4 ; 3 ; 3 ; 3 ; 2 ; 9 ;;;;;;;
2003;2;Petróleo;C; 18 ; 8 ; 5 ; 4 ; 3 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;2;Productos Minerales no Metálicos (Cementos, Cerámicos y Otros);C; 1 ; 0 ; 1 ; 1 ; 0 ; 1 ; 1 ; 1 ; 1 ; 0 ; 1 ; 1 ;;;;;;;
2003;2;Sector Público;C; -   ;;; 0 ;;;; 0 ; 0 ;; 0 ;;;;;;;;
2003;2;Seguros;C; -   ;; 0 ;;;;; 0 ; 0 ;;; 0 ;;;;;;;
2003;2;Todos;C; 372 ; 331 ; 403 ; 579 ; 661 ; 632 ; 509 ; 385 ; 410 ; 440 ; 301 ; 474 ;;;;;;;
2003;2;Transporte;C; 1 ; 1 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 0 ;;;;;;;
2003;2;Turismo y Hotelería;C; 0 ; 0 ; 0 ;;; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;3;Agricultura, Ganadería y Otras Actividades Primarias;C; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 1 ; 1 ; 0 ; 1 ; 2 ; 2 ;;;;;;;
2003;3;Alimentos, Bebidas y Tabaco;C; 1 ; 5 ; 3 ; 5 ; 4 ; 11 ; 9 ; 6 ; 7 ; 10 ; 14 ; 18 ;;;;;;;
2003;3;Comercio;C; 1 ; 0 ; 0 ; 0 ; 1 ; 1 ; 0 ; 2 ; 0 ; 1 ; 3 ; 1 ;;;;;;;
2003;3;Construcción;C;;;;;; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;;
2003;3;Electricidad (Generación, Transporte, Distribución);C; 3 ;;;;;; 2 ; 0 ; 0 ;; 0 ; 0 ;;;;;;;
2003;3;Entidades Financieras y Cambiarias;C; 0 ;;;;;;;;;;;;;;;;;;
2003;3;Industria Automotriz;C; 0 ; 0 ; 0 ; 1 ; 1 ; 0 ; 3 ; 1 ; 0 ; 2 ; 5 ; 5 ;;;;;;;
2003;3;Industria de Papel, Ediciones e Impresiones;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;; 1 ;;;;;;;
2003;3;Industria Química, Caucho y Plástico;C; 2 ; 1 ; 0 ; 1 ; 2 ; 2 ; 8 ; 8 ; 2 ; 5 ; 3 ; 8 ;;;;;;;
2003;3;Industria Textil y Curtidos;C; 0 ; 2 ; 2 ; 2 ; 2 ; 2 ; 0 ; 1 ; 4 ; 2 ; 3 ; 3 ;;;;;;;
2003;3;Informática;C;;;; 0 ; 0 ; 0 ; 0 ; 0 ;; 0 ;; 0 ;;;;;;;
2003;3;Maquinarias y Equipos;C; 1 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 1 ; 3 ; 1 ; 2 ; 1 ;;;;;;;
2003;3;Metales Comunes y Elaboración;C;; 0 ;; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ;;;;;;;
2003;3;Mineria;C;; 1 ;; 1 ;; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;3;Oleaginosos y Cerealeros;C; 6 ; 9 ; 8 ; 6 ; 11 ; 14 ; 29 ; 28 ; 16 ; 26 ; 45 ; 23 ;;;;;;;
2003;3;Otros Industria Manufacturera;C;; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 2 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;3;Otros Sector Privado no Financiero;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 0 ; 1 ; 1 ; 2 ;;;;;;;
2003;3;Petróleo;C; 1 ; 2 ; 3 ; 12 ; 3 ; 10 ;; 3 ; 16 ; 24 ; 5 ; 9 ;;;;;;;
2003;3;Productos Minerales no Metálicos (Cementos, Cerámicos y Otros);C; 1 ; 0 ; 1 ;; 0 ; 2 ;;; 1 ; 0 ; 0 ; 2 ;;;;;;;
2003;3;Todos;C; 15 ; 21 ; 17 ; 30 ; 26 ; 44 ; 55 ; 55 ; 48 ; 74 ; 84 ; 74 ;;;;;;;
2003;3;Turismo y Hotelería;C;;;;;;; 0 ;;;;;;;;;;;;
2003;4;Agricultura, Ganadería y Otras Actividades Primarias;C; 1 ; 1 ; 2 ; 1 ; 2 ; 0 ; 0 ; 1 ; 1 ;; 3 ; 1 ;;;;;;;
2003;4;Alimentos, Bebidas y Tabaco;C; 8 ; 21 ; 20 ; 14 ; 13 ; 13 ; 14 ; 15 ; 19 ; 20 ; 15 ; 8 ;;;;;;;
2003;4;Comercio;C; 3 ; 2 ; 2 ; 4 ; 3 ; 2 ; 2 ; 2 ; 2 ; 2 ; 0 ; 0 ;;;;;;;
2003;4;Construcción;C;;;; 0 ;;;;;;;;;;;;;;;
2003;4;Electricidad (Generación, Transporte, Distribución);C;; 3 ; 3 ; 3 ; 0 ;;;; 2 ; 1 ; 1 ;;;;;;;;
2003;4;Gas (Extracción, Transporte, Distribución);C;; 1 ;; 1 ; 1 ; 2 ; 2 ; 1 ;; 6 ; 1 ; 1 ;;;;;;;
2003;4;Gastronomía;C;;;;;;;;;;;; 0 ;;;;;;;
2003;4;Industria Automotriz;C; 0 ; 0 ; 0 ;;; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;4;Industria de Papel, Ediciones e Impresiones;C;;;;; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;; 1 ;;;;;;;
2003;4;Industria Química, Caucho y Plástico;C; 6 ; 7 ; 13 ; 10 ; 10 ; 12 ; 4 ; 8 ; 16 ; 3 ; 6 ; 7 ;;;;;;;
2003;4;Industria Textil y Curtidos;C; 12 ; 11 ; 14 ; 3 ; 6 ; 6 ; 4 ; 2 ; 4 ; 3 ; 3 ; 5 ;;;;;;;
2003;4;Informática;C; 0 ; 0 ; 0 ;;;;;;;;;;;;;;;;
2003;4;Maquinarias y Equipos;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;4;Metales Comunes y Elaboración;C; 25 ; 5 ; 1 ; 26 ; 9 ; 1 ; 0 ; 0 ; 21 ; 5 ; 0 ; 15 ;;;;;;;
2003;4;Mineria;C; 1 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 1 ; 0 ; 1 ;;;;;;;
2003;4;Oleaginosos y Cerealeros;C; 160 ; 126 ; 110 ; 197 ; 296 ; 178 ; 247 ; 80 ; 132 ; 177 ; 98 ; 170 ;;;;;;;
2003;4;Otros Industria Manufacturera;C; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ;; 0 ; 0 ;; 0 ;;;;;;;
2003;4;Otros Sector Privado no Financiero;C; 0 ; 0 ; 0 ; -0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;4;Petróleo;C; 17 ; 13 ; 27 ; 17 ; 29 ; 40 ; 16 ; 10 ; 18 ; 70 ; 28 ; 26 ;;;;;;;
2003;4;Productos Minerales no Metálicos (Cementos, Cerámicos y Otros);C;;;;; 1 ; 1 ; 1 ; 2 ; 1 ; 1 ;; 1 ;;;;;;;
2003;4;Todos;C; 235 ; 191 ; 192 ; 276 ; 371 ; 256 ; 293 ; 122 ; 216 ; 289 ; 156 ; 236 ;;;;;;;
2003;6;Agricultura, Ganadería y Otras Actividades Primarias;C;; 0 ; 0 ; 0 ; 0 ; 0 ;; 0 ; 0 ;; 0 ; 0 ;;;;;;;
2003;6;Alimentos, Bebidas y Tabaco;C; 1 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;6;Comercio;C; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ;;;;;;;
2003;6;Comunicaciones;C; 0 ; 0 ; 0 ;; 0 ;;; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;6;Construcción;C; 0 ;; 0 ;; 0 ;; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;6;Electricidad (Generación, Transporte, Distribución);C;;; 0 ; 0 ; 0 ;; 0 ; 0 ; 0 ;; 0 ;;;;;;;;
2003;6;Entidades Financieras y Cambiarias;C; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;; 0 ;;;;;;;;
2003;6;Entretenimiento;C;; 0 ;;;;;;; 0 ; 0 ; 0 ;;;;;;;;
2003;6;Gas (Extracción, Transporte, Distribución);C;; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;6;Gastronomía;C;;;; 0 ;;;;;;;;;;;;;;;
2003;6;Industria Automotriz;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ;;;;;;;
2003;6;Industria de Papel, Ediciones e Impresiones;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ;;;;;;;
2003;6;Industria Química, Caucho y Plástico;C; 0 ; 2 ; 0 ; 0 ; 0 ; 2 ; 1 ; 0 ; 0 ; 1 ; 0 ; 2 ;;;;;;;
2003;6;Industria Textil y Curtidos;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;6;Informática;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;; 0 ; 0 ;;;;;;;
2003;6;Maquinarias y Equipos;C; 0 ; 1 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ;;;;;;;
2003;6;Metales Comunes y Elaboración;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;6;Mineria;C;;;;;;;;;;; 0 ;;;;;;;;
2003;6;Oleaginosos y Cerealeros;C; 0 ;; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ;; 0 ; 0 ;;;;;;;
2003;6;Otros Industria Manufacturera;C; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 1 ; 0 ;;;;;;;
2003;6;Otros Sector Privado no Financiero;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ;;;;;;;
2003;6;Petróleo;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;; 0 ; 0 ;;;;;;;
2003;6;Productos Minerales no Metálicos (Cementos, Cerámicos y Otros);C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;6;Sector Público;C;;; 0 ; 0 ; 0 ; 0 ;;; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;6;Todos;C; 2 ; 6 ; 3 ; 4 ; 3 ; 5 ; 4 ; 3 ; 4 ; 4 ; 3 ; 8 ;;;;;;;
2003;6;Transporte;C; 0 ; 0 ;;; 0 ; 0 ;; 0 ; 0 ; 0 ;; 0 ;;;;;;;
2003;6;Turismo y Hotelería;C;;;;;;;; 0 ; 0 ;;;;;;;;;;
2003;7;Agricultura, Ganadería y Otras Actividades Primarias;V; 1 ; 1 ; 1 ; 1 ; 2 ; 2 ; 2 ; 3 ; 3 ; 3 ; 2 ; 2 ;;;;;;;
2003;7;Agua;V; 0 ; 0 ;; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;7;Alimentos, Bebidas y Tabaco;V; 6 ; 8 ; 12 ; 12 ; 14 ; 14 ; 14 ; 10 ; 12 ; 11 ; 11 ; 12 ;;;;;;;
2003;7;Comercio;V; 24 ; 25 ; 33 ; 43 ; 46 ; 48 ; 56 ; 52 ; 61 ; 63 ; 54 ; 56 ;;;;;;;
2003;7;Comunicaciones;V; 1 ; 6 ; 1 ; 3 ; 5 ; 6 ; 6 ; 2 ; 4 ; 6 ; 13 ; 11 ;;;;;;;
2003;7;Construcción;V; 1 ; 1 ; 2 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ;;;;;;;
2003;7;Electricidad (Generación, Transporte, Distribución);V; 0 ; 1 ; 1 ; 1 ; 2 ; 2 ; 3 ; 1 ; 1 ; 9 ; 4 ; 3 ;;;;;;;
2003;7;Entidades Financieras y Cambiarias;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ;;; 1 ;;;;;;;
2003;7;Entretenimiento;V; 0 ; 0 ; 0 ; 1 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ;;;;;;;
2003;7;Gas (Extracción, Transporte, Distribución);V; 0 ; 0 ; 2 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;7;Gastronomía;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;7;Industria Automotriz;V; 4 ; 8 ; 6 ; 5 ; 9 ; 6 ; 8 ; 9 ; 14 ; 20 ; 38 ; 51 ;;;;;;;
2003;7;Industria de Papel, Ediciones e Impresiones;V; 6 ; 5 ; 8 ; 10 ; 10 ; 10 ; 8 ; 8 ; 10 ; 11 ; 8 ; 10 ;;;;;;;
2003;7;Industria Química, Caucho y Plástico;V; 39 ; 34 ; 43 ; 43 ; 41 ; 46 ; 49 ; 39 ; 51 ; 44 ; 32 ; 35 ;;;;;;;
2003;7;Industria Textil y Curtidos;V; 13 ; 17 ; 22 ; 23 ; 23 ; 20 ; 26 ; 23 ; 29 ; 28 ; 24 ; 23 ;;;;;;;
2003;7;Informática;V; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 1 ; 0 ; 1 ;;;;;;;
2003;7;Maquinarias y Equipos;V; 19 ; 20 ; 9 ; 10 ; 11 ; 12 ; 17 ; 15 ; 22 ; 18 ; 21 ; 16 ;;;;;;;
2003;7;Metales Comunes y Elaboración;V; 20 ; 26 ; 26 ; 17 ; 22 ; 23 ; 32 ; 22 ; 23 ; 27 ; 22 ; 19 ;;;;;;;
2003;7;Mineria;V; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2 ; 0 ; 2 ; 1 ; 5 ;;;;;;;
2003;7;Oleaginosos y Cerealeros;V; 1 ; 4 ; 2 ; 2 ; 4 ; 3 ; 7 ; 3 ; 3 ; 3 ; 3 ; 3 ;;;;;;;
2003;7;Otros Industria Manufacturera;V; 3 ; 2 ; 9 ; 9 ; 10 ; 9 ; 14 ; 9 ; 11 ; 12 ; 11 ; 13 ;;;;;;;
2003;7;Otros Sector Privado no Financiero;V; 8 ; 8 ; 14 ; 9 ; 10 ; 10 ; 14 ; 16 ; 16 ; 17 ; 14 ; 18 ;;;;;;;
2003;7;Petróleo;V; 9 ; 9 ; 12 ; 8 ; 7 ; 4 ; 11 ; 8 ; 12 ; 6 ; 8 ; 10 ;;;;;;;
2003;7;Productos Minerales no Metálicos (Cementos, Cerámicos y Otros);V; 2 ; 3 ; 3 ; 3 ; 3 ; 3 ; 3 ; 4 ; 3 ; 3 ; 5 ; 3 ;;;;;;;
2003;7;Sector Público;V; 0 ; 2 ; 3 ; 1 ; 1 ; 1 ; 8 ; 1 ; 4 ; 3 ; 4 ; 4 ;;;;;;;
2003;7;Seguros;V; 0 ;; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;; 0 ;;;;;;;
2003;7;Todos;V; 162 ; 183 ; 212 ; 206 ; 225 ; 223 ; 283 ; 231 ; 286 ; 292 ; 279 ; 303 ;;;;;;;
2003;7;Transporte;V; 1 ; 1 ; 1 ; 3 ; 2 ; 1 ; 2 ; 2 ; 2 ; 2 ; 2 ; 5 ;;;;;;;
2003;7;Turismo y Hotelería;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;8;Agricultura, Ganadería y Otras Actividades Primarias;V; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 1 ; 0 ; 1 ; 0 ; 0 ; 1 ;;;;;;;
2003;8;Agua;V; -   ;; 0 ; 0 ; 0 ;; 0 ; 0 ; 0 ; 0 ;; 0 ;;;;;;;
2003;8;Alimentos, Bebidas y Tabaco;V; 2 ; 2 ; 3 ; 5 ; 5 ; 5 ; 5 ; 5 ; 6 ; 6 ; 6 ; 9 ;;;;;;;
2003;8;Comercio;V; 5 ; 5 ; 8 ; 12 ; 13 ; 11 ; 18 ; 15 ; 19 ; 22 ; 22 ; 30 ;;;;;;;
2003;8;Comunicaciones;V; 0 ;; 0 ;; 0 ; 0 ; 0 ; 0 ; 1 ; 2 ; 0 ; 0 ;;;;;;;
2003;8;Construcción;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 4 ; 1 ; 1 ; 1 ;;;;;;;
2003;8;Electricidad (Generación, Transporte, Distribución);V; 2 ; 1 ; 0 ; 0 ; 0 ; 1 ; 1 ; 1 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;8;Entidades Financieras y Cambiarias;V; -   ;;;; 1 ;;;;;; 0 ;;;;;;;;
2003;8;Entretenimiento;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;8;Gas (Extracción, Transporte, Distribución);V; 0 ; 0 ; 0 ; 1 ; 5 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;8;Gastronomía;V; 0 ; 0 ; 0 ; 0 ;;;; 0 ; 0 ;;;;;;;;;;
2003;8;Industria Automotriz;V; 4 ; 2 ; 2 ; 4 ; 6 ; 8 ; 25 ; 22 ; 20 ; 25 ; 31 ; 43 ;;;;;;;
2003;8;Industria de Papel, Ediciones e Impresiones;V; 1 ; 2 ; 2 ; 4 ; 3 ; 5 ; 5 ; 4 ; 6 ; 4 ; 7 ; 7 ;;;;;;;
2003;8;Industria Química, Caucho y Plástico;V; 21 ; 19 ; 28 ; 30 ; 33 ; 56 ; 53 ; 32 ; 35 ; 45 ; 36 ; 47 ;;;;;;;
2003;8;Industria Textil y Curtidos;V; 3 ; 3 ; 7 ; 6 ; 7 ; 5 ; 11 ; 6 ; 7 ; 8 ; 8 ; 9 ;;;;;;;
