letra;clae6;clae6_desc;vta_sec
G;461040;Venta al por mayor en comisión o consignación de combustibles (No incluye electricidad) ;1
G;461091;Venta al por mayor en comisión o consignación de productos textiles, prendas de vestir, calzado excepto el ortopédico,  artículos de marroquinería, paraguas y similares y productos de cuero n.c.p.;1
G;461092;Venta al por mayor en comisión o consignación de  madera y materiales para la construcción;1
G;461093;Venta al por mayor en comisión o consignación de minerales, metales y productos químicos industriales;1
G;461094;Venta al por mayor en comisión o consignación de  maquinaria, equipo profesional industrial y comercial, embarcaciones y aeronaves;1
G;461095;Venta al por mayor en comisión o consignación de papel, cartón, libros, revistas, diarios, materiales de embalaje y artículos de librería;1
G;461099;Venta al por mayor en comisión o consignación de  mercaderías n.c.p.;1
G;462120;Venta al por mayor de semillas y granos para forrajes;1
G;462131;Venta al por mayor de cereales (incluye arroz), oleaginosas y forrajeras excepto semillas;1
G;462132;Acopio y acondicionamiento de cereales y semillas, excepto de algodón y semillas y granos para forrajes;1
G;462190;Venta al por mayor de materias primas agrícolas y de la silvicultura n.c.p. (Incluye el acopio y venta al por mayor de materiles, desperdicios, subproductos agrícola usados como alimentos para animales);1
G;462201;Venta al por mayor de lanas, cueros en bruto y productos afines;1
G;462209;Venta al por mayor de materias primas pecuarias n.c.p. incluso animales vivos (Incluye pieles y cueros en bruto);1
G;463111;Venta al por mayor de productos lácteos;1
G;463112;Venta al por mayor de fiambres y quesos;1
G;463121;Venta al por mayor de carnes rojas y derivados (Incluye abastecedores y distribuidores de carne);1
G;463129;Venta al por mayor de aves, huevos y productos de granja y de la caza n.c.p. (Incluye la venta al por mayor  de carne de ave fresca, congelada o refrigerada);1
G;463130;Venta al por mayor de pescado;1
G;463140;Venta al por mayor y empaque de frutas, de legumbres y hortalizas frescas;1
G;463151;Venta al por mayor de pan, productos de confitería y pastas frescas;1
G;463152;Venta al por mayor de azúcar;1
G;463153;Venta al por mayor de aceites y grasas;1
G;463154;Venta al por mayor de café, té, yerba mate y otras infusiones y especias y condimentos (Incluye la venta de sal);1
G;463159;Venta al por mayor de productos y subproductos de molinería n.c.p.;1
G;463160;Venta al por mayor de chocolates, golosinas y productos para kioscos y polirrubros n.c.p., excepto cigarrillos;1
G;463170;Venta al por mayor de alimentos balanceados para animales;1
G;463180;Venta al por mayor en supermercados mayoristas de alimentos;1
G;463191;Venta al por mayor de frutas, legumbres y cereales secos y en conserva;1
G;463199;Venta al por mayor de productos alimenticios n.c.p. (Incluye la venta de miel y derivados, productos congelados,  etc.);1
G;463211;Venta al por mayor de vino;1
G;463212;Venta al por mayor de bebidas espiritosas;1
G;463219;Venta al por mayor de bebidas alcohólicas n.c.p. (Incluye la venta de aperitivos con alcohol, cerveza, sidra, etc.);1
G;463220;Venta al por mayor de bebidas no alcohólicas (Incluye la venta de aguas, sodas, bebidas refrescantes, jarabes, extractos, concentrados, gaseosas, jugos, etc.);1
G;463300;Venta al por mayor de cigarrillos y productos de tabaco;1
G;464111;Venta al por mayor de tejidos (telas);1
G;464112;Venta al por mayor de artículos de mercería (Incluye la venta de puntillas, galones, hombreras, agujas, botones, etc.);1
G;464113;Venta al por mayor de mantelería, ropa de cama y artículos textiles para el hogar;1
G;464114;Venta al por mayor de tapices y alfombras de materiales textiles;1
G;464119;Venta al por mayor de productos textiles n.c.p.;1
G;464121;Venta al por mayor de prendas de vestir de cuero;1
G;464122;Venta al por mayor de medias y prendas de punto;1
G;464129;Venta al por mayor de prendas y accesorios de vestir n.c.p., excepto uniformes y ropa de trabajo;1
G;464130;Venta al por mayor de calzado excepto el ortopédico (Incluye venta de calzado de cuero, tela, plástico, goma, etc.);1
G;464141;Venta al por mayor de pieles y cueros curtidos y salados;1
G;464142;Venta al por mayor de suelas y afines (Incluye talabarterías, artículos regionales de cuero, almacenes de suelas, etc.);1
G;464149;Venta al por mayor de artículos de marroquinería,  paraguas y productos similares n.c.p.;1
G;464150;Venta al por mayor de uniformes y ropa de trabajo;1
G;464211;Venta al por mayor de libros y publicaciones;1
G;464212;Venta al por mayor de diarios y revistas;1
G;464221;Venta al por mayor de papel y productos de papel y cartón excepto envases;1
G;464222;Venta al por mayor de envases de papel y cartón;1
G;464223;Venta al por mayor de artículos de librería y papelería;1
G;464310;Venta al por mayor de productos farmacéuticos (Incluye venta de medicamentos y kits de diagnóstico como test de embarazo, hemoglucotest, vacunas, etc.);1
G;464320;Venta al por mayor de productos cosméticos, de tocador y de perfumería (Incluye venta de artículos para peluquería excepto equipamiento);1
G;464330;Venta al por mayor de instrumental médico y odontológico y artículos ortopédicos (Incluye venta de vaporizadores, nebulizadores, masajeadores, termómetros, prótesis, muletas, plantillas, calzado ortopédico y otros artículos similares de uso personal o doméstico);1
G;464340;Venta al por mayor de productos veterinarios;1
G;464410;Venta al por mayor de artículos de óptica y de fotografía (Incluye venta de lentes de contacto, líquidos oftalmológicos, armazones, cristales ópticos, películas fotográficas, cámaras y accesorios para fotografía, etc.);1
G;464420;Venta al por mayor de artículos de relojería, joyería y fantasías;1
G;464501;Venta al por mayor de electrodomésticos y artefactos para el hogar excepto equipos de audio y video;1
G;464502;Venta al por mayor de equipos de audio, video y televisión;1
G;464610;Venta al por mayor de muebles excepto de oficina, artículos de mimbre y corcho, colchones y somieres;1
G;464620;Venta al por mayor de artículos de iluminación ;1
G;464631;Venta al por mayor de artículos de vidrio;1
G;464632;Venta al por mayor de artículos de bazar y menaje excepto de vidrio;1
G;464910;Venta al por mayor de CD's y DVD's de audio y video grabados.;1
G;464920;Venta al por mayor de materiales y productos de limpieza;1
G;464930;Venta al por mayor de juguetes (Incluye artículos de cotillón);1
G;464940;Venta al por mayor de bicicletas y rodados similares (Incluye cochecitos y sillas de paseo para bebés, andadores, triciclos, etc.);1
G;464950;Venta al por mayor de artículos de esparcimiento y deportes (Incluye embarcaciones deportivas, armas y municiones, equipos de pesca, piletas de natación de lona o plástico, etc.);1
G;464991;Venta al por mayor de flores y plantas naturales y artificiales;1
G;464999;Venta al por mayor de artículos de uso doméstico o personal n.c.p (Incluye artículos de platería excepto los incluidos en talabartería, cuadros y marcos que no sean obra de arte o de colección, sahumerios y artículos de santería, parrillas y hogares, etc.);1
G;465100;Venta al por mayor de equipos, periféricos, accesorios y programas informáticos;1
G;465210;Venta al por mayor de equipos de telefonía y comunicaciones;1
G;465220;Venta al por mayor de componentes electrónicos;1
G;465310;Venta al por mayor de máquinas, equipos e implementos de uso en los sectores agropecuario, jardinería, silvicultura, pesca y caza (Incluye venta de tractores, cosechadoras, enfardadoras, remolques de carga y descarga automática, motosierras, cortadoras de césped autopropulsadas, etc.);1
G;465320;Venta al por mayor de máquinas, equipos e implementos de uso en la elaboración de alimentos, bebidas y tabaco (Incluye máquinas para moler, picar y cocer alimentos, fabricadora de pastas, bateas, enfriadoras y envasadoras de bebidas, etc.);1
G;465330;Venta al por mayor de máquinas, equipos e implementos de uso en la fabricación de textiles, prendas y accesorios de vestir, calzado, artículos de cuero y marroquinería (Incluye venta de máquinas de coser, de cortar tejidos, de tejer, extender telas, robots de corte y otros equipos para la industria textil y confeccionista, etc.);1
G;465340;Venta al por mayor de máquinas, equipos e implementos de uso en imprentas, artes gráficas y actividades conexas (Incluye venta de máquinas fotocopiadoras - excepto las de uso personal-, copiadoras de planos, máquinas para imprimir, guillotinar, troquelar, encuadernar, etc.);1
G;465350;Venta al por mayor de máquinas, equipos e implementos de uso médico y paramédico (Incluye venta de equipos de diagnóstico y tratamiento, camillas, cajas de cirugía, jeringas y otros implementos de material descartable, etc.);1
G;465360;Venta al por mayor de máquinas, equipos e implementos de uso en la industria del plástico y del caucho (Incluye sopladora de envases, laminadora de plásticos, máquinas extrusoras y moldeadoras, etc.);1
G;465390;Venta al por mayor de máquinas, equipos e implementos de uso especial n.c.p.  (Incluye motoniveladoras, excavadoras, palas mecánicas, perforadoras-percutoras, etc.);1
G;465400;Venta al por mayor de máquinas - herramienta de uso general;1
G;465500;Venta  al  por  mayor  de  vehículos,  equipos  y  máquinas  para  el transporte ferroviario, aéreo y de navegación;1
G;465610;Venta al por mayor de muebles e instalaciones para oficinas;1
G;465690;Venta al por mayor de muebles e instalaciones para la industria, el comercio y los servicios n.c.p.;1
G;465910;Venta al por mayor de máquinas y equipo de control y seguridad;1
G;465920;Venta al por mayor de maquinaria y equipo de oficina, excepto equipo informático;1
G;465930;Venta al por mayor de equipo profesional y científico e instrumentos de medida y de control n.c.p.;1
G;465990;Venta al por mayor de máquinas, equipo y materiales conexos n.c.p.;1
G;466110;Venta al por mayor de combustibles y lubricantes para automotores;1
G;466121;Fraccionamiento y distribución de gas licuado;1
G;466129;Venta al por mayor de combustibles, lubricantes, leña y carbón, excepto gas licuado y combustibles y lubricantes para automotores;1
G;466200;Venta al por mayor de metales y minerales metalíferos;1
G;466310;Venta al por mayor de aberturas (Incluye puertas, ventanas, cortinas de enrollar, madera, aluminio, puertas corredizas, frentes de placard, etc.);1
G;466320;Venta al por mayor de productos de madera excepto muebles (Incluye placas, varillas, parqué, machimbre, etc.);1
G;466330;Venta al por mayor de artículos de ferretería y materiales eléctricos (Incluye la venta  de clavos, cerraduras, cable coaxil. etc);1
G;466340;Venta al por mayor de pinturas y productos conexos;1
G;466350;Venta al por mayor de cristales y espejos;1
G;466360;Venta al por mayor de artículos para plomería, instalación de gas y calefacción;1
G;466370;Venta al por mayor de papeles para pared, revestimiento para pisos de goma, plástico y textiles,  y artículos similares para la decoración;1
G;466391;Venta al por mayor de artículos de loza, cerámica y porcelana de uso en construcción;1
G;466399;Venta al por mayor de artículos para la construcción n.c.p. (No incluye artículos y materiales de demolición: 466990 );1
G;466910;Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos textiles;1
G;466920;Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos de papel y cartón;1
G;466931;Venta al por mayor de artículos de plástico ;1
G;466932;Venta al por mayor de abonos, fertilizantes y plaguicidas;1
G;466939;Venta al por mayor de productos intermedios, desperdicios y desechos de vidrio, caucho, goma y químicos n.c.p.;1
G;466940;Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos metálicos (Incluye chatarra, viruta de metales diversos, etc.);1
G;466990;Venta al por mayor de productos intermedios, desperdicios y desechos n.c.p.;1
G;469010;Venta al por mayor de insumos agropecuarios diversos;1
G;469090;Venta al por mayor de mercancías n.c.p.;1
G;471110;Venta al por menor en hipermercados ;0
G;471120;Venta al por menor en supermercados;0
G;471130;Venta al por menor en minimercados (Incluye mercaditos, autoservicios y establecimientos similares que vendan carnes, verduras y demás productos alimenticios en forma conjunta);0
G;471190;Venta al por menor en kioscos, polirrubros y comercios no especializados n.c.p.;0
G;471900;Venta al por menor en comercios no especializados, sin predominio de productos alimenticios y bebidas;0
G;472111;Venta al por menor de productos lácteos;0
G;472112;Venta al por menor de fiambres y embutidos;0
G;472120;Venta al por menor de productos de almacén y dietética;0
G;472130;Venta al por menor de carnes rojas, menudencias y chacinados frescos;0
G;472140;Venta al por menor de huevos, carne de aves y  productos de granja y de la caza;0
G;472150;Venta al por menor de pescados y  productos de la pesca;0
G;472160;Venta al por menor de frutas, legumbres y hortalizas frescas;0
G;472171;Venta al por menor de pan y productos de panadería   ;0
G;472172;Venta al por menor de bombones, golosinas y demás productos de confitería;0
G;472190;Venta al por menor de productos alimenticios n.c.p., en comercios especializados;0
G;472200;Venta al por menor de bebidas en comercios especializados;0
G;472300;Venta al por menor de tabaco en comercios especializados;0
G;473000;Venta al por menor de combustible para vehículos automotores y motocicletas (Incluye la venta al por menor de productos lubricantes y refrigerantes);0
G;474010;Venta al por menor de equipos, periféricos,  accesorios y programas informáticos;0
G;474020;Venta al por menor de aparatos de telefonía y comunicación (Incluye teléfonos, celulares, fax, etc);0
G;475110;Venta al por menor de hilados, tejidos y artículos de mercería (Incluye mercerías, sederías, comercios de venta de lanas y otros hilados, etc.) ;0
G;475120;Venta al por menor de confecciones para el hogar (Incluye la venta al por menor de sábanas, toallas, mantelería, cortinas confeccionadas, colchas, cubrecamas, etc.);0
G;475190;Venta al por menor de artículos textiles n.c.p. excepto prendas de vestir (Incluye la venta al por menor de tapices, alfombras,  etc.);0
G;475210;Venta al por menor de aberturas (Incluye puertas, ventanas, cortinas de enrollar de PVC, madera, aluminio, puertas corredizas, frentes de placards, etc.);0
G;475220;Venta al por menor de maderas y artículos de madera  y corcho, excepto muebles;0
G;475230;Venta al por menor de artículos de ferretería y materiales eléctricos;0
G;475240;Venta al por menor de pinturas y productos conexos;0
G;475250;Venta al por menor de artículos para plomería e instalación de gas;0
G;475260;Venta al por menor de cristales, espejos, mamparas y cerramientos;0
G;475270;Venta al por menor de papeles para pared, revestimientos para pisos y artículos similares para la decoración;0
G;475290;Venta al por menor de materiales de construcción n.c.p.;0
G;475300;Venta al por menor  de electrodomésticos, artefactos para el hogar y equipos de audio y video;0
G;475410;Venta al por menor de muebles para el hogar, artículos de mimbre y corcho;0
G;475420;Venta al por menor de colchones y somieres;0
G;475430;Venta al por menor de artículos de iluminación ;0
G;475440;Venta al por menor de artículos de bazar y menaje (Incluye venta al por menor de vajilla, cubiertos, etc.);0
G;475490;Venta al por menor de artículos para el hogar n.c.p. (Incluye perchas, marcos, cuadros, etc.);0
G;476110;Venta al por menor de libros;0
G;476120;Venta al por menor de diarios y revistas;0
G;476130;Venta al por menor de papel, cartón, materiales de embalaje y artículos de librería ;0
G;476200;Venta al por menor de CD's y DVD's de audio y video grabados (Incluye CD's y DVD's vírgenes);0
G;476310;Venta al por menor de equipos  y artículos deportivos (Incluye la venta y reparación  de bicicletas, la venta  de aparatos de gimnasia y de equipos de camping, etc.)  ;0
G;476320;Venta al por menor de armas, artículos para la caza y pesca;0
G;476400;Venta al por menor de juguetes, artículos de cotillón y juegos de mesa;0
G;477110;Venta al por menor de ropa interior, medias, prendas para dormir y para la playa (Incluye corsetería, lencería, camisetas, medias excepto ortopédicas, pijamas, camisones y saltos de cama, salidas de baño, trajes de baño, etc.);0
G;477120;Venta al por menor de uniformes escolares y guardapolvos;0
G;477130;Venta al por menor de indumentaria para bebés y niños;0
G;477140;Venta al por menor de indumentaria deportiva;0
G;477150;Venta al por menor de prendas de cuero ;0
G;477190;Venta al por menor de prendas y accesorios de vestir n.c.p. ;0
G;477210;Venta al por menor de artículos de talabartería y artículos regionales (Incluye venta de artículos regionales de cuero, plata, alpaca y similares);0
G;477220;Venta al por menor de calzado, excepto el ortopédico y el deportivo (No incluye almacenes de suelas 464142);0
G;477230;Venta al por menor de calzado deportivo;0
G;477290;Venta al por menor de artículos de marroquinería, paraguas y similares n.c.p.;0
G;477310;Venta al por menor de productos farmacéuticos y de herboristería;0
G;477320;Venta al por menor de productos cosméticos, de tocador y de perfumería;0
G;477330;Venta al por menor de instrumental médico y odontológico y artículos ortopédicos (Incluye venta de vaporizadores, nebulizadores, masajeadores, termómetros, prótesis, muletas, plantillas, calzado ortopédico y otros artículos similares de uso personal o doméstico);0
G;477410;Venta al por menor de artículos de óptica y fotografía;0
G;477420;Venta al por menor de artículos de relojería y joyería;0
G;477430;Venta al por menor de bijouterie y fantasía;0
G;477440;Venta al por menor de flores, plantas, semillas, abonos, fertilizantes y otros productos de vivero ;0
G;477450;Venta al por menor de materiales y productos de limpieza;0
G;477460;Venta al por menor de fuel oil, gas en garrafas, carbón y leña (No incluye las estaciones de servicios que se clasifican en 473000);0
G;477470;Venta al por menor de productos veterinarios, animales domésticos y alimento balanceado para mascotas;0
G;477480;Venta al por menor de obras de arte;0
G;477490;Venta al por menor de artículos nuevos n.c.p. (Incluye la venta realizada en casas de regalos, de artesanías, pelucas,  de artículos religiosos -santerías-, recarga de matafuegos,  etc.) ;0
G;477810;Venta al por menor de muebles usados;0
G;477820;Venta al por menor de libros, revistas y similares usados;0
G;477830;Venta al por menor de antigüedades (Incluye venta de antigüedades en remates);0
G;477840;Venta al por menor de oro, monedas, sellos y similares (Incluye la  venta de monedas de colección, estampillas, etc.) ;0
G;477890;Venta al por menor de artículos usados n.c.p. excepto+E1155 automotores y motocicletas ;0
G;478010;Venta al por menor de alimentos, bebidas y tabaco en puestos móviles y mercados;0
G;478090;Venta al por menor de productos n.c.p. en puestos móviles y mercados;0
G;479101;Venta al por menor por internet ;0
G;479109;Venta al por menor por correo, televisión y otros medios de comunicación n.c.p.;0
G;479900;Venta al por menor no realizada en establecimientos  n.c.p. (Incluye venta mediante máquinas expendedoras, vendedores ambulantes y vendedores a domicilio);0
G;462110;Acopio de algodón;1
